Hebrew,Transliteration,Root,Meaning,Part of speech
אֶטֶב,etev,א - ט - ב,"clothes peg, clothespin, clip","Noun –ketelpattern, masculine"
אִיטּוּם,itum,א - ט - ם,"sealing, waterproofing","Noun –kittulpattern, masculine"
אוֹיֵב,oyev,א - י - ב,enemy,"Noun –kotelpattern, masculine"
הִתְאַייְּדוּת,hit'aydut,א - י - ד,evaporation,"Noun –hitkattlutpattern, feminine"
אַיִל,ayil,א - י - ל,"🐏 ram (male sheep); mogul, tycoon","Noun –ketelpattern, masculine"
אִיּוּם,iyum,א - י - ם,"threat, menace","Noun –kittulpattern, masculine"
אִיּוּר,iyur,א - י - ר,illustration,"Noun –kittulpattern, masculine"
אִיּוּשׁ,iyush,א - י - שׁ,"manning, staffing","Noun –kittulpattern, masculine"
אִיּוּת,iyut,א - י - ת,spelling,"Noun –kittulpattern, masculine"
אַכְזָבָה,achzava,א - כ - ז - ב,disappointment,"Noun –kattalapattern, feminine"
אוֹכֶל,ochel,א - כ - ל,food,"Noun –kotelpattern, masculine"
אַכְלָן,achlan,א - כ - ל,glutton,"Noun –katlanpattern, masculine"
הַאֲכָלָה,ha'achala,א - כ - ל,"feeding, nutrition","Noun –haktalapattern, feminine"
מַאֲכָל,ma'achal,א - כ - ל,food,"Noun –miktalpattern, masculine"
מַאֲכֶלֶת,ma'achelet,א - כ - ל,"slaughtering knife, butcher's knife (lit.)","Noun –mikteletpattern, feminine"
אֲכִילָה,achila,א - כ - ל,eating,"Noun –ktilapattern, feminine"
מַכּוֹלֶת,makolet,א - כ - ל,"grocery, convenience store","Noun –maktoletpattern, feminine"
אֲכִיפָה,achifa,א - כ - ף,enforcement (of law),"Noun –ktilapattern, feminine"
אֵלֶם,elem,א - ל - ם,"silence, speechlessness (lit.)","Noun –ketelpattern, masculine"
אֶלֶף,elef,א - ל - ף,thousand,"Noun –ketelpattern, masculine"
אַלּוּף,aluf,א - ל - ף,champion; general (military),"Noun –kattulpattern, masculine"
מְאַלֵּף,me'alef,א - ל - ף,animal trainer,"Noun –mekattelpattern, masculine"
אִילּוּץ,ilutz,א - ל - ץ,"constraint, forcing, compulsion","Noun –kittulpattern, masculine"
אִילְתּוּר,iltur,א - ל - ת - ר,improvisation,"Noun –kittulpattern, masculine"
אוּמָּה,uma,א - מ - ם,"nation, people","Noun –kutlapattern, feminine"
אוֹם,om,א - מ - ם,nut (of a bolt),"Noun –kotelpattern, masculine"
מְאַמֵּן,me'amen,א - מ - ן,"coach, trainer","Noun –mekattelpattern, masculine"
אִימּוּן,imun,א - מ - ן,"training, exercise, practice","Noun –kittulpattern, masculine"
אֲמָנָה,amana,א - מ - ן,"agreement, treaty, contract, pact","Noun –ktalapattern, feminine"
מַאֲמָץ,ma'amatz,א - מ - ץ,"effort, strain","Noun –maktalpattern, masculine"
אוֹמֶץ,ometz,א - מ - ץ,"bravery, courage, valour","Noun –kotelpattern, masculine"
אִימּוּץ,imutz,א - מ - ץ,"adoption, fostering (child); espousal, adoption (idea, etc.)","Noun –kittulpattern, masculine"
אִמְרָה,imra,א - מ - ר,"saying, expression","Noun –kitlapattern, feminine"
מַאֲמָר,ma'amar,א - מ - ר,"article, text; saying, expression","Noun –miktalpattern, masculine"
אָמִיר,amir,א - מ - ר,"emir, prince, ruler (arabic)","Noun –katilpattern, masculine"
הַאֲמָרָה,ha'amara,א - מ - ר,price increase,"Noun –haktalapattern, feminine"
אִימּוּת,imut,א - מ - ת,"verification, validation","Noun –kittulpattern, masculine"
אֲנָחָה,anacha,א - נ - ח,"sigh, groan, moan","Noun –ktalapattern, feminine"
אֲנָךְ,anach,א - נ - ך,"vertical, perpendicular; plumb line","Noun –ktalpattern, masculine"
אַסְלָה,asla,א - ס - ל,toilet bowl,"Noun –katlapattern, feminine"
אָסָם,asam,א - ס - ם,"granary, barn","Noun –katalpattern, masculine"
אוֹסֶף,osef,א - ס - ף,"collection, assortment","Noun –kotelpattern, masculine"
אֲסֵיפָה,asefa,א - ס - ף,"meeting, gathering, assembly","Noun –ktelapattern, feminine"
אַסְפָן,asfan,א - ס - ף,"collector (of stamps, etc.)","Noun –katlanpattern, masculine"
אִיסּוּף,isuf,א - ס - ף,"collection, gathering, accumulation","Noun –kittulpattern, masculine"
אִיסּוּר,isur,א - ס - ר,"prohibition, ban","Noun –kittulpattern, masculine"
אָסִיר,asir,א - ס - ר,prisoner,"Noun –katilpattern, masculine"
מַאֲסָר,ma'asar,א - ס - ר,"imprisonment, incarceration","Noun –miktalpattern, masculine"
אוֹפִי,ofi,א - פ - ה,character; personality,"Noun –kotelpattern, masculine"
מַאֲפִיָּה,ma'afiya,א - פ - ה,bakery,"Noun –miktalapattern, feminine"
אִפְיוֹן,ifyon,א - פ - ה,characterization,"Noun –kitlonpattern, masculine"
אֲפִייָּה,afiya,א - פ - ה,baking,"Noun –ktilapattern, feminine"
אוֹפֶה,ofe,א - פ - ה,baker,"Noun –kotelpattern, masculine"
מַאֲפֶה,ma'afe,א - פ - ה,pastry,"Noun –miktalpattern, masculine"
אִיפּוּל,ipul,א - פ - ל,blackout (media),"Noun –kittulpattern, masculine"
אֲפֵלָה,afela,א - פ - ל,"darkness; despair, despondency","Noun –ktelapattern, feminine"
אוֹפֶל,ofel,א - פ - ל,darkness,"Noun –kotelpattern, masculine"
אוֹפֶן,ofen,א - פ - ן,"method, fashion, manner","Noun –kotelpattern, masculine"
אוֹפְנָה,ofna,א - פ - ן,"fashion, vogue","Noun –kotlapattern, feminine"
אֶפֶס,efes,א - פ - ס,zero; nothing,"Noun –ketelpattern, masculine"
אַף,af,א - פ - ף,nose,"Noun –ketelpattern, masculine"
אוֹפֶק,ofek,א - פ - ק,horizon,"Noun –kotelpattern, masculine"
אִיפּוּר,ipur,א - פ - ר,"makeup, cosmetics","Noun –kittulpattern, masculine"
מַאֲפֵרָה,ma'afera,א - פ - ר,ashtray,"Noun –maktelapattern, feminine"
אֲצוּלָּה,atzula,א - צ - ל,"nobility, aristocracy","Noun –ktullapattern, feminine"
אָצִיל,atzil,א - צ - ל,"nobleman, aristocrat","Noun –katilpattern, masculine"
אוֹצָר,otzar,א - צ - ר,"treasure; hoard, stash; treasury","Noun –kotalpattern, masculine"
אֲרוּבָּה,aruba,א - ר - ב,chimney,"Noun –ktullapattern, feminine"
אִירְגּוּן,irgun,א - ר - ג - ן,"organisation, entity","Noun –kittulpattern, masculine"
אָרָד,arad,א - ר - ד,bronze,"Noun –katalpattern, masculine"
אוּרְווָה,urva,א - ר - ו,"stable, building for keeping horses","Noun –kutlapattern, feminine"
אֶרֶז,erez,א - ר - ז,cedar,"Noun –ketelpattern, masculine"
אֲרִיזָה,ariza,א - ר - ז,"package, packaging; container","Noun –ktilapattern, feminine"
אוֹרֶז,orez,א - ר - ז,rice,"Noun –kotelpattern, masculine"
מַאֲרָז,ma'araz,א - ר - ז,"package, bundle","Noun –miktalpattern, masculine"
אוֹרֵחַ,oreach,א - ר - ח,guest,"Noun –kotelpattern, masculine"
אֲרוּחָה,arucha,א - ר - ח,meal,"Noun –ktulapattern, feminine"
אוֹרַח,orach,א - ר - ח,"way, path (archaic); style, manner (אורח חיים — life style)","Noun –kotelpattern, masculine"
אוֹרֶךְ,orech,א - ר - ך,length; duration,"Noun –kotelpattern, masculine"
אַרְכָּה,arka,א - ר - ך,"postponement, extension","Noun –katlapattern, feminine"
תַּאֲרִיךְ,ta'arich,א - ר - ך,date (calendar),"Noun –taktilpattern, masculine"
אוֹרֶן,oren,א - ר - ן,pine,"Noun –kotelpattern, masculine"
אָרוּס,arus,א - ר - ס,fiance,"Noun –katulpattern, masculine"
אֵירוּסִין,erusin,א - ר - ס,"betrothal, engagement","Noun –kittulpattern, masculine"
אֵירוּעַ,erua,א - ר - ע,"event, occasion","Noun –kittulpattern, masculine"
אֶרֶץ,eretz,א - ר - ץ,land; country,"Noun –ketelpattern, feminine"
הַאֲרָקָה,ha'araka,א - ר - ק,"grounding, earthing (electricity)","Noun –haktalapattern, feminine"
אֶשֶׁךְ,eshech,א - שׁ - ך,"testicle, testis","Noun –ketelpattern, masculine"
אֵשֶׁל,eshel,א - שׁ - ל,tamarisk (tree),"Noun –ketelpattern, masculine"
אַשְׁמָה,ashma,א - שׁ - ם,"guilt, fault","Noun –katlapattern, feminine"
אַשָּׁף,ashaf,א - שׁ - ף,expert; wizard,"Noun –kattalpattern, masculine"
אַשְׁפָּה,ashpa,א - שׁ - ף,"garbage, rubbish","Noun –katlapattern, feminine"
אִשְׁפּוּז,ishpuz,א - שׁ - פ - ז,"hospitalisation, hospital admission","Noun –kittulpattern, masculine"
אִישּׁוּר,ishur,א - שׁ - ר,"approval, authorization","Noun –kittulpattern, masculine"
אָשׁוּר,ashur,א - שׁ - ר,beech (rare),"Noun –katulpattern, masculine"
אוֹשֶׁר,osher,א - שׁ - ר,"happiness, bliss","Noun –kotelpattern, masculine"
אִשְׁרָה,ishra,א - שׁ - ר,visa; approval,"Noun –kitlapattern, feminine"
הִתְאוֹשְׁשׁוּת,hit'osheshut,א - שׁ - שׁ,"recovery, recuperation","Noun –hitkattlutpattern, feminine"
אִיתְחוּל,itchul,א - ת - ח - ל,initialization (computing); booting (of a computer),"Noun –kittulpattern, masculine"
אִיתּוּר,itur,א - ת - ר,"locating, localisation, identification","Noun –kittulpattern, masculine"
אֲתָר,atar,א - ת - ר,site; website,"Noun –ktalpattern, masculine"
אַתָּת,atat,א - ת - ת,signalman,"Noun –kattalpattern, masculine"
אֵת,et,א - ת - ת,"spade, shovel","Noun –ketelpattern, masculine"
בֵּיאוּר,be'ur,ב - א - ר,explanation,"Noun –kittulpattern, masculine"
בְּאֵר,be'er,ב - א - ר,well,"Noun –ktelpattern, feminine"
בֶּגֶד,beged,ב - ג - ד,piece of clothing; clothes,"Noun –ketelpattern, masculine"
הִתְבַּגְּרוּת,hitbagrut,ב - ג - ר,"maturation, growing up","Noun –hitkattlutpattern, feminine"
בַּגְרוּת,bagrut,ב - ג - ר,"maturity, adulthood","Noun –katlutpattern, feminine"
הִתְבּוֹדְדוּת,hitbodedut,ב - ד - ד,seclusion,"Noun –hitkattlutpattern, feminine"
בִּידּוּד,bidud,ב - ד - ד,insulation; quarantine,"Noun –kittulpattern, masculine"
בַּד,bad,ב - ד - ד,branch (of a tree) (lit.); part of an olive press,"Noun –ketelpattern, masculine"
בְּדִיחָה,bdicha,ב - ד - ח,joke,"Noun –ktilapattern, feminine"
בְּדִייָּה,bdiya,ב - ד - ה,"lie, falsehood, fabrication","Noun –ktilapattern, feminine"
בִּדְיוֹן,bidyon,ב - ד - ה,fiction,"Noun –kitlonpattern, masculine"
הֶבְדֵּל,hevdel,ב - ד - ל,difference,"Noun –hektelpattern, masculine"
הַבְדָּלָה,havdala,ב - ד - ל,"separation, distinction; Havdalah (Judaism)","Noun –haktalapattern, feminine"
בַּדְלָן,badlan,ב - ד - ל,separatist,"Noun –katlanpattern, masculine"
מִבְדָּק,mivdak,ב - ד - ק,"test, examination, check","Noun –miktalpattern, masculine"
בְּדִיקָה,bdika,ב - ד - ק,"test, check, examination","Noun –ktilapattern, feminine"
מִבְדּוֹק,mivdok,ב - ד - ק,"drydock, shipyard","Noun –miktolpattern, masculine"
בִּידּוּר,bidur,ב - ד - ר,entertainment,"Noun –kittulpattern, masculine"
בֶּהָלָה,behala,ב - ה - ל,"panic, fear","Noun –kattalapattern, feminine"
בְּהֵמָה,behema,ב - ה - ם,"beast, domestic animal","Noun –ktelapattern, feminine"
בְּהֵמָה,behema,ב - ה - ם,"beast, animal (e. g. cattle); brute, vulgar person (slang)","Noun –ktelapattern, feminine"
מָבוֹא,mavo,ב - ו - א,"introduction, preface; entrance (lit.); alley, side street (lit.)","Noun –miktalpattern, masculine"
תְּבוּאָה,tvu'a,ב - ו - א,"cereals, grains; food produce, crops","Noun –tkulapattern, feminine"
בִּיאָה,bi'a,ב - ו - א,"coming; entrance hall (lit.); sexual intercourse, coitus (euphemism)","Noun –ktilapattern, feminine"
מָבוֹךְ,mavoch,ב - ו - ך,"maze, labyrinth","Noun –miktalpattern, masculine"
מְבוּכָה,mevucha,ב - ו - ך,"embarrassment, confusion","Noun –mekulapattern, feminine"
הֲבָסָה,havasa,ב - ו - ס,"vanquishment, defeat","Noun –haktalapattern, feminine"
תְּבוּסָה,tvusa,ב - ו - ס,"defeat, downfall","Noun –tkulapattern, feminine"
בִּיזְבּוּז,bizbuz,ב - ז - ב - ז,"waste, squandering","Noun –kittulpattern, masculine"
בִּיזָּה,biza,ב - ז - ז,"plundering, looting, ransacking, marauding","Noun –kitlapattern, feminine"
בַּז,baz,ב - ז - ז,falcon,"Noun –ketelpattern, masculine"
מִבְזָק,mivzak,ב - ז - ק,flash; news flash,"Noun –miktalpattern, masculine"
בְּחִילָה,bchila,ב - ח - ל,nausea; repulsion,"Noun –ktilapattern, feminine"
בּוֹחַן,bochan,ב - ח - ן,"test, exam, quiz","Noun –kotelpattern, masculine"
מַבְחֵנָה,mavchena,ב - ח - ן,test tube,"Noun –maktelapattern, feminine"
בְּחִינָה,bchina,ב - ח - ן,"examination, investigation","Noun –ktilapattern, feminine"
מִבְחָן,mivchan,ב - ח - ן,"exam, test","Noun –miktalpattern, masculine"
אַבְחָנָה,avchana,ב - ח - ן,diagnosis,"Noun –aktalapattern, feminine"
הַבְחָנָה,havchana,ב - ח - ן,"differentiation, distinguishing","Noun –haktalapattern, feminine"
בְּחִירָה,bchira,ב - ח - ר,"choice, selection, election","Noun –ktilapattern, feminine"
בָּחוּר,bachur,ב - ח - ר,young man,"Noun –kattulpattern, masculine"
הִתְבַּטְּאוּת,hitbat'ut,ב - ט - א,self-expression; remark,"Noun –hitkattlutpattern, feminine"
מִבְטָא,mivta,ב - ט - א,accent,"Noun –miktalpattern, masculine"
בִּיטָּאוֹן,bita'on,ב - ט - א,"newspaper, journal, organ","Noun –kittalonpattern, masculine"
בִּיטּוּחַ,bituach,ב - ט - ח,insurance,"Noun –kittulpattern, masculine"
אַבְטָחָה,avtacha,ב - ט - ח,"protection, security","Noun –aktalapattern, feminine"
בִּיטָּחוֹן,bitachon,ב - ט - ח,"security, safety","Noun –kittalonpattern, masculine"
מִבְטָח,mivtach,ב - ט - ח,"refuge, safe haven (lit.)","Noun –miktalpattern, masculine"
הַבְטָחָה,havtacha,ב - ט - ח,promise,"Noun –haktalapattern, feminine"
בִּיטּוּי,bituy,ב - ט - ה,"expression, phrase, idiom","Noun –kittulpattern, masculine"
אַבְטָלָה,avtala,ב - ט - ל,unemployment,"Noun –aktalapattern, feminine"
בִּיטּוּל,bitul,ב - ט - ל,cancellation,"Noun –kittulpattern, masculine"
בַּטְלָן,batlan,ב - ט - ל,"idler, loafer; ne'er-do-well","Noun –katlanpattern, masculine"
בּוֹטֶן,boten,ב - ט - ן,🥜 peanut,"Noun –kotelpattern, masculine"
בִּיטּוּן,bitun,ב - ט - ן,concreting,"Noun –kittulpattern, masculine"
בֵּטֶן,beten,ב - ט - ן,"belly, abdomen","Noun –ketelpattern, feminine"
בִּטְנָה,bitna,ב - ט - ן,lining (of clothing),"Noun –kitlapattern, feminine"
בִּיּוּב,biyuv,ב - י - ב,"sewage, sewer","Noun –kittulpattern, masculine"
הִתְבּוֹנְנוּת,hitbonenut,ב - י - ן,"contemplation, observation","Noun –hitkattlutpattern, feminine"
בִּיּוּן,biyun,ב - י - ן,"spying, intelligence; interpolation (mathematics)","Noun –kittulpattern, masculine"
מוּבָן,muvan,ב - י - ן,"meaning, sense","Noun –muktalpattern, masculine"
תְּבוּנָה,tvuna,ב - י - ן,"understanding; wisdom, intelligence; reason","Noun –tkulapattern, feminine"
הֲבָנָה,havana,ב - י - ן,"understanding, comprehension","Noun –haktalapattern, feminine"
בִּינָה,bina,ב - י - ן,"understanding, intelligence, wisdom","Noun –ktilapattern, feminine"
בַּיִת,bayit,ב - י - ת,"home, house","Noun –ketelpattern, masculine"
בֶּכִי,bechi,ב - כ - ה,"crying, weeping","Noun –ketelpattern, masculine"
בְּכִייָּה,bchiya,ב - כ - ה,weeping,"Noun –ktilapattern, feminine"
בִּיכּוּר,bikur,ב - כ - ר,"preference, favoritism","Noun –kittulpattern, masculine"
בְּכוֹר,bchor,ב - כ - ר,first-born,"Noun –ktolpattern, masculine"
בִּילְבּוּל,bilbul,ב - ל - ב - ל,"confusion, chaos; perplexity, bewilderment","Noun –kittulpattern, masculine"
בַּלּוּט,balut,ב - ל - ט,acorn,"Noun –kattulpattern, masculine"
בְּלִיטָה,blita,ב - ל - ט,"protrusion, bump, bulge, protuberance","Noun –ktilapattern, feminine"
בִּילּוּי,biluy,ב - ל - ה,"recreation, leisure, pleasure🏖️; spending (time, resource)","Noun –kittulpattern, masculine"
הִתְבּוֹלְלוּת,hitbolelut,ב - ל - ל,assimilation,"Noun –hitkattlutpattern, feminine"
בְּלִימָה,blima,ב - ל - ם,"braking; defensive action (military); restraint, curbing","Noun –ktilapattern, feminine"
בַּלָּם,balam,ב - ל - ם,defender (football),"Noun –kattalpattern, masculine"
בֶּלֶם,belem,ב - ל - ם,brake,"Noun –ketelpattern, masculine"
בַּלֶּשֶׁת,baleshet,ב - ל - שׁ,detective service,"Noun –katteletpattern, feminine"
בַּלָּשׁ,balash,ב - ל - שׁ,"detective, investigator","Noun –kattalpattern, masculine"
בִּילּוּשׁ,bilush,ב - ל - שׁ,"detection, investigation","Noun –kittulpattern, masculine"
בַּמַּאי,bamay,ב - מ - ה,"director (stage, cinema)","Noun –kattalpattern, masculine"
בְּנִייָּה,bniya,ב - נ - ה,"building, erection, construction; assembly","Noun –ktilapattern, feminine"
בַּנַּאי,banay,ב - נ - ה,"builder, construction worker","Noun –kattalpattern, masculine"
בִּינּוּי,binuy,ב - נ - ה,"construction, development (real estate), building","Noun –kittulpattern, masculine"
תַּבְנִית,tavnit,ב - נ - ה,"form, pattern; baking form","Noun –taktitpattern, feminine"
מִבְנֶה,mivne,ב - נ - ה,building; structure,"Noun –miktalpattern, masculine"
בָּסִיס,basis,ב - ס - ס,"basis, foundation; base","Noun –katilpattern, masculine"
הִתְבַּסְּסוּת,hitbasesut,ב - ס - ס,"reliance (on something), being based on something","Noun –hitkattlutpattern, feminine"
בִּיסּוּס,bisus,ב - ס - ס,"establishment, strengthening; support, foundation","Noun –kittulpattern, masculine"
בְּעִיטָה,be'ita,ב - ע - ט,kick,"Noun –ktilapattern, feminine"
בְּעָיָה,be'aya,ב - ע - ה,problem,"Noun –ktalapattern, feminine"
בַּעַל,ba'al,ב - ע - ל,"master, owner; husband, spouse","Noun –ketelpattern, masculine"
בְּעִילָה,be'ila,ב - ע - ל,"coitus, sexual intercourse","Noun –ktilapattern, feminine"
מַבְעֵר,mav'er,ב - ע - ר,burner,"Noun –maktelpattern, masculine"
בַּעַת,ba'at,ב - ע - ת,phobia,"Noun –ketelpattern, masculine"
בָּצָל,batzal,ב - צ - ל,🌰 onion; tuber (botany),"Noun –katalpattern, masculine"
בִּיצּוּעַ,bitzua,ב - צ - ע,"implementation, execution","Noun –kittulpattern, masculine"
מִבְצָע,mivtza,ב - צ - ע,operation; military campaign; sale,"Noun –miktalpattern, masculine"
בִּיצָּה,bitza,ב - צ - ץ,swamp,"Noun –kitlapattern, feminine"
בּוֹץ,botz,ב - צ - ץ,mud; trouble (coll.),"Noun –kotelpattern, masculine"
בָּצֵק,batzek,ב - צ - ק,dough,"Noun –katelpattern, masculine"
מִבְצָר,mivtzar,ב - צ - ר,"fortress, citadel, stronghold","Noun –miktalpattern, masculine"
בִּיקּוּעַ,bikua,ב - ק - ע,"cleaving, splitting, cracking","Noun –kittulpattern, masculine"
בֶּקַע,beka,ב - ק - ע,"crack, split, rupture; graben, rift (geology); hernia","Noun –ketelpattern, masculine"
הִתְבַּקְּעוּת,hitbak'ut,ב - ק - ע,"cleaving, splitting, cracking","Noun –hitkattlutpattern, feminine"
בִּקְעָה,bik'a,ב - ק - ע,valley,"Noun –kitlapattern, feminine"
בּוֹקֶר,boker,ב - ק - ר,morning,"Noun –kotelpattern, masculine"
בַּקָּרָה,bakara,ב - ק - ר,"inspection, control, supervision","Noun –kattalapattern, feminine"
בִּיקּוּר,bikur,ב - ק - ר,visit,"Noun –kittulpattern, masculine"
בַּקָּר,bakar,ב - ק - ר,"inspector, supervisor, controller","Noun –kattalpattern, masculine"
בִּיקּוֹרֶת,bikoret,ב - ק - ר,criticism; examination; visit,"Noun –kittoletpattern, feminine"
בָּקָר,bakar,ב - ק - ר,cattle,"Noun –katalpattern, masculine"
בִּיקּוּשׁ,bikush,ב - ק - שׁ,demand (economics); search,"Noun –kittulpattern, masculine"
בַּקָּשָׁה,bakasha,ב - ק - שׁ,request,"Noun –kattalapattern, feminine"
